FROM,TO,PASSIVE,SURVEY
Citrus,Citrus,270692,482334
Citrus,Clearwater,50,33
Citrus,External,13466,14368
Citrus,Hernando Other,4298,3321
Citrus,Hillsborough Other,271,150
Citrus,Manatee Spur,4,0
Citrus,New Port Richey,76,0
Citrus,Pasco Other,1588,3308
Citrus,Pinellas Beaches,30,0
Citrus,Pinellas Other,218,513
Citrus,Plant City,8,0
Citrus,Spring Hill,1782,2923
Citrus,St Petersburg,76,0
Citrus,Tampa,167,93
Citrus,USF  Hosp  Busch,27,4146
Clearwater,Citrus,50,513
Clearwater,Clearwater,226013,496991
Clearwater,External,1625,2172
Clearwater,Hernando Other,271,182
Clearwater,Hillsborough Other,10474,8047
Clearwater,Manatee Spur,58,0
Clearwater,New Port Richey,613,485
Clearwater,Pasco Other,7278,9774
Clearwater,Pinellas Beaches,10260,2128
Clearwater,Pinellas Other,155810,235612
Clearwater,Plant City,106,0
Clearwater,Spring Hill,310,200
Clearwater,St Petersburg,12588,21243
Clearwater,Tampa,7256,14081
Clearwater,USF  Hosp  Busch,415,4892
External,Citrus,13466,10512
External,Clearwater,1625,1568
External,Hernando Other,2747,310
External,Hillsborough Other,36679,26236
External,Manatee Spur,6996,0
External,New Port Richey,281,0
External,Pasco Other,9482,3792
External,Pinellas Beaches,746,644
External,Pinellas Other,6821,8502
External,Plant City,9034,4090
External,Spring Hill,1343,2449
External,St Petersburg,5391,8509
External,Tampa,9507,28778
External,USF  Hosp  Busch,859,148
Hernando Other,Citrus,4279,2419
Hernando Other,Clearwater,271,224
Hernando Other,External,2747,575
Hernando Other,Hernando Other,123581,143997
Hernando Other,Hillsborough Other,3084,5634
Hernando Other,Manatee Spur,6,0
Hernando Other,New Port Richey,416,0
Hernando Other,Pasco Other,19401,25970
Hernando Other,Pinellas Beaches,84,0
Hernando Other,Pinellas Other,875,309
Hernando Other,Plant City,117,0
Hernando Other,Spring Hill,46023,50147
Hernando Other,St Petersburg,214,0
Hernando Other,Tampa,1598,310
Hernando Other,USF  Hosp  Busch,262,0
Hillsborough Other,Citrus,271,42
Hillsborough Other,Clearwater,10474,28273
Hillsborough Other,External,36679,30815
Hillsborough Other,Hernando Other,3088,5825
Hillsborough Other,Hillsborough Other,1986436,3132131
Hillsborough Other,Manatee Spur,2126,380
Hillsborough Other,New Port Richey,1342,376
Hillsborough Other,Pasco Other,74754,86452
Hillsborough Other,Pinellas Beaches,3082,7869
Hillsborough Other,Pinellas Other,41091,71736
Hillsborough Other,Plant City,42553,23343
Hillsborough Other,Spring Hill,3752,1745
Hillsborough Other,St Petersburg,19737,22798
Hillsborough Other,Tampa,340870,425630
Hillsborough Other,USF  Hosp  Busch,50988,76173
Manatee Spur,Citrus,4,0
Manatee Spur,Clearwater,58,0
Manatee Spur,External,6996,0
Manatee Spur,Hernando Other,6,0
Manatee Spur,Hillsborough Other,2097,521
Manatee Spur,Manatee Spur,4232,306
Manatee Spur,New Port Richey,4,0
Manatee Spur,Pasco Other,98,0
Manatee Spur,Pinellas Beaches,38,0
Manatee Spur,Pinellas Other,690,0
Manatee Spur,Plant City,53,0
Manatee Spur,Spring Hill,5,0
Manatee Spur,St Petersburg,992,0
Manatee Spur,Tampa,383,153
Manatee Spur,USF  Hosp  Busch,63,0
New Port Richey,Citrus,76,0
New Port Richey,Clearwater,616,485
New Port Richey,External,281,0
New Port Richey,Hernando Other,412,0
New Port Richey,Hillsborough Other,1339,1008
New Port Richey,Manatee Spur,4,0
New Port Richey,New Port Richey,24381,21512
New Port Richey,Pasco Other,38564,42314
New Port Richey,Pinellas Beaches,122,0
New Port Richey,Pinellas Other,3307,18011
New Port Richey,Plant City,8,0
New Port Richey,Spring Hill,900,40
New Port Richey,St Petersburg,321,0
New Port Richey,Tampa,482,1960
New Port Richey,USF  Hosp  Busch,207,1824
Pasco Other,Citrus,1587,2455
Pasco Other,Clearwater,7263,18800
Pasco Other,External,9482,5971
Pasco Other,Hernando Other,19395,17925
Pasco Other,Hillsborough Other,74874,93798
Pasco Other,Manatee Spur,98,0
Pasco Other,New Port Richey,38554,39009
Pasco Other,Pasco Other,935984,1478331
Pasco Other,Pinellas Beaches,1573,4044
Pasco Other,Pinellas Other,43816,63521
Pasco Other,Plant City,1556,3458
Pasco Other,Spring Hill,23522,24046
Pasco Other,St Petersburg,6214,1084
Pasco Other,Tampa,43303,76273
Pasco Other,USF  Hosp  Busch,7911,7297
Pinellas Beaches,Citrus,30,0
Pinellas Beaches,Clearwater,10053,1804
Pinellas Beaches,External,746,512
Pinellas Beaches,Hernando Other,86,0
Pinellas Beaches,Hillsborough Other,3103,7227
Pinellas Beaches,Manatee Spur,36,547
Pinellas Beaches,New Port Richey,123,0
Pinellas Beaches,Pasco Other,1570,2349
Pinellas Beaches,Pinellas Beaches,37403,22513
Pinellas Beaches,Pinellas Other,45184,35197
Pinellas Beaches,Plant City,104,0
Pinellas Beaches,Spring Hill,121,0
Pinellas Beaches,St Petersburg,15508,7148
Pinellas Beaches,Tampa,2601,3043
Pinellas Beaches,USF  Hosp  Busch,106,0
Pinellas Other,Citrus,218,0
Pinellas Other,Clearwater,155776,201201
Pinellas Other,External,6821,16207
Pinellas Other,Hernando Other,875,217
Pinellas Other,Hillsborough Other,41045,93186
Pinellas Other,Manatee Spur,684,0
Pinellas Other,New Port Richey,3327,8314
Pinellas Other,Pasco Other,43863,77764
Pinellas Other,Pinellas Beaches,45207,37143
Pinellas Other,Pinellas Other,1101386,1515385
Pinellas Other,Plant City,518,8
Pinellas Other,Spring Hill,1513,190
Pinellas Other,St Petersburg,175662,196751
Pinellas Other,Tampa,25835,33294
Pinellas Other,USF  Hosp  Busch,1594,6257
Plant City,Citrus,8,0
Plant City,Clearwater,107,0
Plant City,External,9034,5493
Plant City,Hernando Other,117,0
Plant City,Hillsborough Other,42659,23427
Plant City,Manatee Spur,53,0
Plant City,New Port Richey,8,0
Plant City,Pasco Other,1563,2422
Plant City,Pinellas Beaches,112,0
Plant City,Pinellas Other,518,8
Plant City,Plant City,112113,134557
Plant City,Spring Hill,112,0
Plant City,St Petersburg,412,65
Plant City,Tampa,3835,5324
Plant City,USF  Hosp  Busch,258,0
Spring Hill,Citrus,1779,3552
Spring Hill,Clearwater,310,124
Spring Hill,External,1343,1098
Spring Hill,Hernando Other,45946,55894
Spring Hill,Hillsborough Other,3754,2195
Spring Hill,Manatee Spur,5,0
Spring Hill,New Port Richey,902,1286
Spring Hill,Pasco Other,23472,14493
Spring Hill,Pinellas Beaches,124,0
Spring Hill,Pinellas Other,1511,773
Spring Hill,Plant City,112,0
Spring Hill,Spring Hill,136448,143048
Spring Hill,St Petersburg,373,1276
Spring Hill,Tampa,2637,2290
Spring Hill,USF  Hosp  Busch,471,33
St Petersburg,Citrus,76,0
St Petersburg,Clearwater,12589,28996
St Petersburg,External,5391,6407
St Petersburg,Hernando Other,214,0
St Petersburg,Hillsborough Other,19769,21255
St Petersburg,Manatee Spur,987,0
St Petersburg,New Port Richey,321,0
St Petersburg,Pasco Other,6221,730
St Petersburg,Pinellas Beaches,15605,6770
St Petersburg,Pinellas Other,175772,171983
St Petersburg,Plant City,412,0
St Petersburg,Spring Hill,373,903
St Petersburg,St Petersburg,622477,557898
St Petersburg,Tampa,24157,23730
St Petersburg,USF  Hosp  Busch,1156,9662
Tampa,Citrus,168,38
Tampa,Clearwater,7283,15446
Tampa,External,9507,34103
Tampa,Hernando Other,1616,1067
Tampa,Hillsborough Other,340847,398068
Tampa,Manatee Spur,385,293
Tampa,New Port Richey,482,1415
Tampa,Pasco Other,43361,69833
Tampa,Pinellas Beaches,2687,3574
Tampa,Pinellas Other,26025,36367
Tampa,Plant City,3827,1682
Tampa,Spring Hill,2627,64
Tampa,St Petersburg,24223,27311
Tampa,Tampa,1094044,1235028
Tampa,USF  Hosp  Busch,29418,69656
USF  Hosp  Busch,Citrus,26,3508
USF  Hosp  Busch,Clearwater,413,398
USF  Hosp  Busch,External,859,151
USF  Hosp  Busch,Hernando Other,264,0
USF  Hosp  Busch,Hillsborough Other,50769,61042
USF  Hosp  Busch,Manatee Spur,63,0
USF  Hosp  Busch,New Port Richey,207,0
USF  Hosp  Busch,Pasco Other,7909,5101
USF  Hosp  Busch,Pinellas Beaches,101,0
USF  Hosp  Busch,Pinellas Other,1591,6512
USF  Hosp  Busch,Plant City,266,0
USF  Hosp  Busch,Spring Hill,470,23
USF  Hosp  Busch,St Petersburg,1152,2625
USF  Hosp  Busch,Tampa,29322,88060
USF  Hosp  Busch,USF  Hosp  Busch,47543,153538
