FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Pinellas North,Hillsborough,13420,619
Tarpon Springs Area,Hillsborough,255,50
Pinellas North Central,Hillsborough,31064,1670
Oldsmar Ind Area,Hillsborough,5663,196
Clearwater Dwntwn,Hillsborough,1119,108
Pinellas Beaches,Hillsborough,5915,1956
Pinellas Central,Hillsborough,16195,755
Mid-Cnty Ind Area,Hillsborough,7223,326
Pinellas South,Hillsborough,44295,2284
Tyrone Square Area,Hillsborough,455,44
Dwntwn USF Albert Whitted Airport,Hillsborough,7813,733
Countryside Mall,Hillsborough,479,45
St Petersburg Clearwater Area,Hillsborough,442,125
Gateway Area,Hillsborough,3834,168
Clearwater Mall,Hillsborough,354,38
Grand Central Area,Hillsborough,126,3
Hillsborough,Pinellas North,13462,577
Pinellas North,Pinellas North,158385,5608
Tarpon Springs Area,Pinellas North,4274,183
Pinellas North Central,Pinellas North,47972,1663
Oldsmar Ind Area,Pinellas North,2073,46
Countryside Mall,Pinellas North,1717,98
Pinellas Beaches,Pinellas North,1547,172
Clearwater Dwntwn,Pinellas North,779,10
Clearwater Mall,Pinellas North,214,12
Pinellas Central,Pinellas North,6359,121
Mid-Cnty Ind Area,Pinellas North,3225,69
Pinellas South,Pinellas North,3789,89
Tyrone Square Area,Pinellas North,129,1
Dwntwn USF Albert Whitted Airport,Pinellas North,864,25
Pasco,Pinellas North,27033,735
Hernando  Citrus,Pinellas North,862,35
External,Pinellas North,1061,1055
Gateway Area,Pinellas North,878,8
Manatee Spur,Pinellas North,25,4
Hillsborough,Tarpon Springs Area,247,58
Pinellas North,Tarpon Springs Area,4245,211
Tarpon Springs Area,Tarpon Springs Area,739,97
Pinellas Beaches,Tarpon Springs Area,49,47
Pinellas North Central,Tarpon Springs Area,436,89
Oldsmar Ind Area,Tarpon Springs Area,5,3
Countryside Mall,Tarpon Springs Area,18,5
Clearwater Dwntwn,Tarpon Springs Area,20,2
Pinellas Central,Tarpon Springs Area,128,12
Mid-Cnty Ind Area,Tarpon Springs Area,29,3
Pinellas South,Tarpon Springs Area,89,6
Gateway Area,Tarpon Springs Area,4,0
Dwntwn USF Albert Whitted Airport,Tarpon Springs Area,1,0
Pasco,Tarpon Springs Area,1867,192
Hernando  Citrus,Tarpon Springs Area,61,21
External,Tarpon Springs Area,15,121
Clearwater Mall,Tarpon Springs Area,1,0
St Petersburg Clearwater Area,Tarpon Springs Area,0,1
Tyrone Square Area,Tarpon Springs Area,3,0
Grand Central Area,Tarpon Springs Area,1,0
Manatee Spur,Tarpon Springs Area,1,0
St Petersburg Clearwater Area,Pinellas North,153,4
Grand Central Area,Pinellas North,8,0
Hillsborough,Pinellas Beaches,5982,1888
Pinellas North,Pinellas Beaches,1533,186
Tarpon Springs Area,Pinellas Beaches,50,45
Pinellas Beaches,Pinellas Beaches,37403,18933
Pinellas North Central,Pinellas Beaches,10525,1454
Oldsmar Ind Area,Pinellas Beaches,39,14
Countryside Mall,Pinellas Beaches,111,22
Clearwater Dwntwn,Pinellas Beaches,1671,233
Clearwater Mall,Pinellas Beaches,78,37
Pinellas Central,Pinellas Beaches,25831,2935
Mid-Cnty Ind Area,Pinellas Beaches,1972,240
Pinellas South,Pinellas Beaches,26095,2882
Gateway Area,Pinellas Beaches,493,51
Dwntwn USF Albert Whitted Airport,Pinellas Beaches,1594,583
Pasco,Pinellas Beaches,1695,244
Hernando  Citrus,Pinellas Beaches,237,59
Manatee Spur,Pinellas Beaches,38,12
External,Pinellas Beaches,746,3458
Hillsborough,Pinellas North Central,31156,1577
Pinellas North,Pinellas North Central,48073,1562
Tarpon Springs Area,Pinellas North Central,422,104
Pinellas Beaches,Pinellas North Central,10398,1580
Pinellas North Central,Pinellas North Central,372522,12389
Oldsmar Ind Area,Pinellas North Central,6835,246
Countryside Mall,Pinellas North Central,7036,327
Clearwater Dwntwn,Pinellas North Central,17531,506
Clearwater Mall,Pinellas North Central,3523,276
Pinellas Central,Pinellas North Central,54719,1224
Mid-Cnty Ind Area,Pinellas North Central,13547,385
St Petersburg Clearwater Area,Pinellas North Central,510,57
Pinellas South,Pinellas North Central,17749,422
Gateway Area,Pinellas North Central,3724,27
Dwntwn USF Albert Whitted Airport,Pinellas North Central,2793,144
Pasco,Pinellas North Central,13457,407
Hernando  Citrus,Pinellas North Central,988,62
External,Pinellas North Central,2254,2563
Tyrone Square Area,Pinellas North Central,265,8
Grand Central Area,Pinellas North Central,48,1
Manatee Spur,Pinellas North Central,85,20
Hillsborough,Oldsmar Ind Area,5679,180
Pinellas North,Oldsmar Ind Area,2028,90
Tarpon Springs Area,Oldsmar Ind Area,5,2
Pinellas Beaches,Oldsmar Ind Area,42,12
Pinellas North Central,Oldsmar Ind Area,6842,239
Oldsmar Ind Area,Oldsmar Ind Area,1903,74
Countryside Mall,Oldsmar Ind Area,125,6
Clearwater Dwntwn,Oldsmar Ind Area,85,0
Clearwater Mall,Oldsmar Ind Area,20,0
Pinellas Central,Oldsmar Ind Area,607,12
Mid-Cnty Ind Area,Oldsmar Ind Area,239,1
St Petersburg Clearwater Area,Oldsmar Ind Area,0,1
Pinellas South,Oldsmar Ind Area,583,5
Gateway Area,Oldsmar Ind Area,140,0
Dwntwn USF Albert Whitted Airport,Oldsmar Ind Area,35,6
Pasco,Oldsmar Ind Area,1823,15
Hernando  Citrus,Oldsmar Ind Area,209,0
External,Oldsmar Ind Area,86,84
Grand Central Area,Oldsmar Ind Area,3,0
Hillsborough,Countryside Mall,475,49
Pinellas North,Countryside Mall,1753,62
Tarpon Springs Area,Countryside Mall,23,0
Pinellas Beaches,Countryside Mall,116,17
Pinellas North Central,Countryside Mall,7055,307
Oldsmar Ind Area,Countryside Mall,131,0
Countryside Mall,Countryside Mall,443,19
Clearwater Dwntwn,Countryside Mall,122,3
Clearwater Mall,Countryside Mall,25,0
Pinellas Central,Countryside Mall,623,35
Mid-Cnty Ind Area,Countryside Mall,175,3
St Petersburg Clearwater Area,Countryside Mall,7,3
Pinellas South,Countryside Mall,268,5
Gateway Area,Countryside Mall,37,0
Tyrone Square Area,Countryside Mall,7,0
Dwntwn USF Albert Whitted Airport,Countryside Mall,27,1
Pasco,Countryside Mall,507,5
Hernando  Citrus,Countryside Mall,12,0
External,Countryside Mall,14,18
Tyrone Square Area,Pinellas Beaches,807,181
St Petersburg Clearwater Area,Pinellas Beaches,79,67
Grand Central Area,Pinellas Beaches,192,10
Hillsborough,Clearwater Dwntwn,1116,110
Pinellas North,Clearwater Dwntwn,780,8
Pinellas Beaches,Clearwater Dwntwn,1624,280
Pinellas North Central,Clearwater Dwntwn,17539,498
Oldsmar Ind Area,Clearwater Dwntwn,85,0
Countryside Mall,Clearwater Dwntwn,125,0
Clearwater Dwntwn,Clearwater Dwntwn,7436,601
Clearwater Mall,Clearwater Dwntwn,93,0
Pinellas Central,Clearwater Dwntwn,7156,168
Mid-Cnty Ind Area,Clearwater Dwntwn,676,10
St Petersburg Clearwater Area,Clearwater Dwntwn,15,3
Pinellas South,Clearwater Dwntwn,1456,29
Gateway Area,Clearwater Dwntwn,185,2
Pasco,Clearwater Dwntwn,593,14
Hernando  Citrus,Clearwater Dwntwn,58,1
External,Clearwater Dwntwn,80,177
Tarpon Springs Area,Clearwater Dwntwn,20,2
Dwntwn USF Albert Whitted Airport,Clearwater Dwntwn,128,16
Tyrone Square Area,Clearwater Dwntwn,10,0
Grand Central Area,Clearwater Dwntwn,2,0
Manatee Spur,Clearwater Dwntwn,3,0
Hillsborough,Clearwater Mall,369,23
Pinellas North,Clearwater Mall,225,1
Tarpon Springs Area,Clearwater Mall,1,0
Pinellas Beaches,Clearwater Mall,82,33
Pinellas North Central,Clearwater Mall,3552,247
Oldsmar Ind Area,Clearwater Mall,20,0
Countryside Mall,Clearwater Mall,24,1
Clearwater Dwntwn,Clearwater Mall,90,4
Clearwater Mall,Clearwater Mall,211,33
Pinellas Central,Clearwater Mall,1244,40
Mid-Cnty Ind Area,Clearwater Mall,167,3
St Petersburg Clearwater Area,Clearwater Mall,3,1
Pinellas South,Clearwater Mall,254,17
Gateway Area,Clearwater Mall,37,0
Tyrone Square Area,Clearwater Mall,6,0
Dwntwn USF Albert Whitted Airport,Clearwater Mall,14,4
Grand Central Area,Clearwater Mall,1,0
Pasco,Clearwater Mall,112,6
Hernando  Citrus,Clearwater Mall,2,1
Manatee Spur,Clearwater Mall,3,0
External,Clearwater Mall,19,47
Hillsborough,Pinellas Central,16232,718
Pinellas North,Pinellas Central,6342,138
Pinellas North Central,Pinellas Central,54766,1176
Oldsmar Ind Area,Pinellas Central,605,14
Countryside Mall,Pinellas Central,644,14
Pinellas Beaches,Pinellas Central,25713,3054
Clearwater Dwntwn,Pinellas Central,7179,145
Clearwater Mall,Pinellas Central,1225,59
Pinellas Central,Pinellas Central,338293,10312
Mid-Cnty Ind Area,Pinellas Central,44836,1041
Pinellas South,Pinellas Central,64826,1607
Gateway Area,Pinellas Central,5971,249
Tyrone Square Area,Pinellas Central,2631,69
Dwntwn USF Albert Whitted Airport,Pinellas Central,4614,226
Grand Central Area,Pinellas Central,128,3
Pasco,Pinellas Central,4609,154
Hernando  Citrus,Pinellas Central,485,16
Manatee Spur,Pinellas Central,171,7
External,Pinellas Central,2230,2333
Tarpon Springs Area,Pinellas Central,128,12
St Petersburg Clearwater Area,Pinellas Central,1008,150
Hillsborough,Mid-Cnty Ind Area,7218,331
Pinellas North,Mid-Cnty Ind Area,3221,74
Pinellas North Central,Mid-Cnty Ind Area,13584,348
Oldsmar Ind Area,Mid-Cnty Ind Area,239,1
Pinellas Beaches,Mid-Cnty Ind Area,1961,251
Pinellas Central,Mid-Cnty Ind Area,44725,1152
Mid-Cnty Ind Area,Mid-Cnty Ind Area,31334,1122
Pinellas South,Mid-Cnty Ind Area,33103,768
Dwntwn USF Albert Whitted Airport,Mid-Cnty Ind Area,1821,156
Pasco,Mid-Cnty Ind Area,2911,48
External,Mid-Cnty Ind Area,642,1149
Clearwater Dwntwn,Mid-Cnty Ind Area,676,10
Clearwater Mall,Mid-Cnty Ind Area,168,2
Gateway Area,Mid-Cnty Ind Area,2796,208
Hernando  Citrus,Mid-Cnty Ind Area,266,3
Countryside Mall,Mid-Cnty Ind Area,175,3
St Petersburg Clearwater Area,Mid-Cnty Ind Area,620,88
Tyrone Square Area,Mid-Cnty Ind Area,260,9
Grand Central Area,Mid-Cnty Ind Area,121,3
Tarpon Springs Area,Mid-Cnty Ind Area,28,5
Hillsborough,St Petersburg Clearwater Area,463,104
Tarpon Springs Area,St Petersburg Clearwater Area,0,1
Pinellas North,St Petersburg Clearwater Area,151,7
Pinellas North Central,St Petersburg Clearwater Area,475,92
Countryside Mall,St Petersburg Clearwater Area,7,3
Pinellas Beaches,St Petersburg Clearwater Area,66,80
Clearwater Dwntwn,St Petersburg Clearwater Area,17,2
Clearwater Mall,St Petersburg Clearwater Area,3,1
Pinellas Central,St Petersburg Clearwater Area,968,191
Mid-Cnty Ind Area,St Petersburg Clearwater Area,620,89
St Petersburg Clearwater Area,St Petersburg Clearwater Area,221,52
Pinellas South,St Petersburg Clearwater Area,709,73
Gateway Area,St Petersburg Clearwater Area,79,26
Dwntwn USF Albert Whitted Airport,St Petersburg Clearwater Area,29,22
Pasco,St Petersburg Clearwater Area,224,36
Hernando  Citrus,St Petersburg Clearwater Area,38,8
External,St Petersburg Clearwater Area,25,212
Manatee Spur,Mid-Cnty Ind Area,129,12
Oldsmar Ind Area,St Petersburg Clearwater Area,0,1
Tyrone Square Area,St Petersburg Clearwater Area,3,0
Manatee Spur,St Petersburg Clearwater Area,73,13
Hillsborough,Pinellas South,44408,2170
Pinellas North,Pinellas South,3791,88
Tarpon Springs Area,Pinellas South,88,7
Pinellas North Central,Pinellas South,17770,402
Oldsmar Ind Area,Pinellas South,584,4
Countryside Mall,Pinellas South,271,1
Pinellas Beaches,Pinellas South,26038,2939
Clearwater Dwntwn,Pinellas South,1456,28
Clearwater Mall,Pinellas South,243,28
Pinellas Central,Pinellas South,64760,1673
Mid-Cnty Ind Area,Pinellas South,32982,889
St Petersburg Clearwater Area,Pinellas South,696,86
Pinellas South,Pinellas South,741517,18198
Gateway Area,Pinellas South,19929,654
Tyrone Square Area,Pinellas South,13589,305
Dwntwn USF Albert Whitted Airport,Pinellas South,54461,2693
Grand Central Area,Pinellas South,6013,86
Pasco,Pinellas South,5845,154
Hernando  Citrus,Pinellas South,677,22
Manatee Spur,Pinellas South,913,111
External,Pinellas South,6558,5867
Hillsborough,Gateway Area,3835,167
Pinellas North,Gateway Area,862,24
Pinellas North Central,Gateway Area,3720,31
Oldsmar Ind Area,Gateway Area,132,7
Clearwater Dwntwn,Gateway Area,185,2
Pinellas Beaches,Gateway Area,494,50
Clearwater Mall,Gateway Area,37,0
Pinellas Central,Gateway Area,5935,286
Mid-Cnty Ind Area,Gateway Area,2709,295
Pinellas South,Gateway Area,20022,561
Gateway Area,Gateway Area,6366,330
Tyrone Square Area,Gateway Area,166,9
Dwntwn USF Albert Whitted Airport,Gateway Area,1112,124
Grand Central Area,Gateway Area,76,0
Pasco,Gateway Area,1102,33
Hernando  Citrus,Gateway Area,50,0
External,Gateway Area,226,618
Countryside Mall,Gateway Area,37,0
St Petersburg Clearwater Area,Gateway Area,86,19
Manatee Spur,Gateway Area,82,14
Tarpon Springs Area,Gateway Area,4,0
Hillsborough,Tyrone Square Area,450,49
Pinellas North,Tyrone Square Area,127,2
Pinellas North Central,Tyrone Square Area,268,5
Countryside Mall,Tyrone Square Area,7,0
Pinellas Beaches,Tyrone Square Area,797,191
Clearwater Dwntwn,Tyrone Square Area,10,0
Clearwater Mall,Tyrone Square Area,6,0
Pinellas Central,Tyrone Square Area,2610,90
Mid-Cnty Ind Area,Tyrone Square Area,261,8
St Petersburg Clearwater Area,Tyrone Square Area,3,0
Pinellas South,Tyrone Square Area,13544,349
Gateway Area,Tyrone Square Area,165,10
Tyrone Square Area,Tyrone Square Area,2006,74
Dwntwn USF Albert Whitted Airport,Tyrone Square Area,468,49
Grand Central Area,Tyrone Square Area,63,1
Pasco,Tyrone Square Area,58,1
Hernando  Citrus,Tyrone Square Area,4,1
Manatee Spur,Tyrone Square Area,7,0
External,Tyrone Square Area,52,115
Tarpon Springs Area,Tyrone Square Area,3,0
Hillsborough,Dwntwn USF Albert Whitted Airport,7790,756
Pinellas North,Dwntwn USF Albert Whitted Airport,864,25
Pinellas North Central,Dwntwn USF Albert Whitted Airport,2820,117
Countryside Mall,Dwntwn USF Albert Whitted Airport,27,1
Pinellas Beaches,Dwntwn USF Albert Whitted Airport,1626,552
Clearwater Dwntwn,Dwntwn USF Albert Whitted Airport,128,16
Pinellas Central,Dwntwn USF Albert Whitted Airport,4624,216
Mid-Cnty Ind Area,Dwntwn USF Albert Whitted Airport,1840,137
Pinellas South,Dwntwn USF Albert Whitted Airport,54615,2538
Gateway Area,Dwntwn USF Albert Whitted Airport,1100,136
Tyrone Square Area,Dwntwn USF Albert Whitted Airport,473,44
Dwntwn USF Albert Whitted Airport,Dwntwn USF Albert Whitted Airport,23262,3058
Grand Central Area,Dwntwn USF Albert Whitted Airport,1242,24
Pasco,Dwntwn USF Albert Whitted Airport,1382,54
Hernando  Citrus,Dwntwn USF Albert Whitted Airport,184,5
Manatee Spur,Dwntwn USF Albert Whitted Airport,247,113
External,Dwntwn USF Albert Whitted Airport,551,2120
Oldsmar Ind Area,Dwntwn USF Albert Whitted Airport,39,3
Clearwater Mall,Dwntwn USF Albert Whitted Airport,14,4
St Petersburg Clearwater Area,Dwntwn USF Albert Whitted Airport,29,22
Hillsborough,Grand Central Area,125,3
Tarpon Springs Area,Grand Central Area,1,0
Pinellas North,Grand Central Area,8,0
Pinellas North Central,Grand Central Area,48,1
Oldsmar Ind Area,Grand Central Area,3,0
Pinellas Beaches,Grand Central Area,192,11
Clearwater Dwntwn,Grand Central Area,2,0
Clearwater Mall,Grand Central Area,1,0
Pinellas Central,Grand Central Area,129,2
Mid-Cnty Ind Area,Grand Central Area,124,1
Pinellas South,Grand Central Area,5975,124
Gateway Area,Grand Central Area,76,0
Tyrone Square Area,Grand Central Area,64,0
Dwntwn USF Albert Whitted Airport,Grand Central Area,1215,51
Grand Central Area,Grand Central Area,161,13
Pasco,Grand Central Area,13,0
Hernando  Citrus,Grand Central Area,0,0
External,Grand Central Area,24,36
Tarpon Springs Area,Dwntwn USF Albert Whitted Airport,1,0
Pinellas North,Pasco,27085,683
Tarpon Springs Area,Pasco,1873,186
Pinellas North Central,Pasco,13479,385
Oldsmar Ind Area,Pasco,1821,17
Clearwater Dwntwn,Pasco,593,14
Pinellas Central,Pasco,4610,154
Mid-Cnty Ind Area,Pasco,2909,50
Pinellas South,Pasco,5845,154
Pinellas Beaches,Pasco,1694,245
Gateway Area,Pasco,1104,31
Dwntwn USF Albert Whitted Airport,Pasco,1390,46
Countryside Mall,Pasco,508,4
Clearwater Mall,Pasco,111,6
St Petersburg Clearwater Area,Pasco,225,35
Grand Central Area,Pasco,13,0
Tyrone Square Area,Pasco,58,1
Pinellas North,Hernando  Citrus,862,35
Pinellas North Central,Hernando  Citrus,988,62
Pinellas Central,Hernando  Citrus,485,16
Pinellas South,Hernando  Citrus,679,20
Countryside Mall,Hernando  Citrus,12,0
Pinellas Beaches,Hernando  Citrus,237,59
Dwntwn USF Albert Whitted Airport,Hernando  Citrus,184,5
Tarpon Springs Area,Hernando  Citrus,61,21
Mid-Cnty Ind Area,Hernando  Citrus,266,3
Gateway Area,Hernando  Citrus,50,0
Clearwater Dwntwn,Hernando  Citrus,58,1
St Petersburg Clearwater Area,Hernando  Citrus,38,8
Clearwater Mall,Hernando  Citrus,2,1
Oldsmar Ind Area,Hernando  Citrus,209,0
Tyrone Square Area,Hernando  Citrus,4,1
Grand Central Area,Hernando  Citrus,0,0
Tarpon Springs Area,Manatee Spur,1,0
Pinellas North,Manatee Spur,25,4
Pinellas North Central,Manatee Spur,84,21
Pinellas Beaches,Manatee Spur,36,14
Pinellas Central,Manatee Spur,171,7
St Petersburg Clearwater Area,Manatee Spur,78,8
Mid-Cnty Ind Area,Manatee Spur,122,19
Pinellas South,Manatee Spur,913,111
Dwntwn USF Albert Whitted Airport,Manatee Spur,238,122
Gateway Area,Manatee Spur,82,14
Tyrone Square Area,Manatee Spur,7,0
Clearwater Mall,Manatee Spur,3,0
Clearwater Dwntwn,Manatee Spur,3,0
Pinellas North,External,1061,1055
Tarpon Springs Area,External,15,121
Pinellas Beaches,External,746,3458
Pinellas North Central,External,2254,2563
Oldsmar Ind Area,External,86,84
Countryside Mall,External,14,18
Clearwater Dwntwn,External,80,177
Clearwater Mall,External,19,47
Pinellas Central,External,2230,2333
Mid-Cnty Ind Area,External,642,1149
St Petersburg Clearwater Area,External,25,212
Pinellas South,External,6558,5867
Gateway Area,External,226,618
Tyrone Square Area,External,52,115
Dwntwn USF Albert Whitted Airport,External,551,2120
Grand Central Area,External,24,36
