ZONE,MODE,TRIPS
732,AUTO,5886
732,WALK,1168
733,AUTO,12877
733,WALK,597
734,AUTO,11171
734,TNC,99
734,TRANSIT,79
734,WALK,897
735,AUTO,21893
735,WALK,43
736,AUTO,9665
737,AUTO,4927
737,WALK,428
738,AUTO,10232
739,AUTO,8643
740,AUTO,11014
741,AUTO,14371
741,TRANSIT,3
741,WALK,1186
742,AUTO,839
742,BIKE,232
742,WALK,116
743,AUTO,19086
743,BIKE,232
744,AUTO,38833
744,OTHER,418
744,WALK,239
745,AUTO,2074
745,WALK,116
746,AUTO,1078
747,AUTO,46
748,AUTO,5579
749,AUTO,13554
750,AUTO,11395
750,WALK,116
751,AUTO,348
752,AUTO,586
752,WALK,517
753,AUTO,394
754,AUTO,25475
754,TRANSIT,1872
754,WALK,353
757,SHUTTLE VANPOOL,1
758,AUTO,33
760,AUTO,5663
760,TRANSIT,359
760,WALK,205
761,AUTO,14981
761,TRANSIT,79
761,WALK,2483
762,AUTO,7041
763,AUTO,10951
763,SCHOOL BUS,625
763,WALK,3105
764,AUTO,1450
764,WALK,701
765,AUTO,6023
766,AUTO,42917
766,SCHOOL BUS,114
766,WALK,985
767,AUTO,11153
767,SCHOOL BUS,114
767,WALK,161
768,AUTO,6859
769,AUTO,797
770,AUTO,26690
770,TNC,98
770,WALK,120
771,AUTO,5742
771,WALK,100
772,AUTO,8601
772,TRANSIT,57
772,WALK,153
773,AUTO,41134
773,SCHOOL BUS,710
773,TAXI NOT TNC,150
773,WALK,22863
774,AUTO,4822
775,AUTO,14786
775,TRANSIT,1872
775,WALK,3744
778,AUTO,336
779,AUTO,336
780,AUTO,1069
780,WALK,329
781,AUTO,19773
781,TAXI NOT TNC,116
781,WALK,127
783,AUTO,3018
785,AUTO,2075
786,AUTO,6086
786,BIKE,357
786,SHUTTLE VANPOOL,5773
787,AUTO,7578
788,AUTO,165
789,AUTO,4743
791,AUTO,7103
791,BIKE,357
791,WALK,99
792,AUTO,6192
792,WALK,116
793,AUTO,32584
793,SCHOOL BUS,1876
793,SHUTTLE VANPOOL,1924
793,WALK,3751
794,AUTO,3081
794,SCHOOL BUS,1876
794,SHUTTLE VANPOOL,3848
794,TRANSIT,696
794,WALK,206
795,AUTO,14808
795,WALK,5345
796,AUTO,264
797,AUTO,483
798,AUTO,1816
798,WALK,32
799,AUTO,3253
800,AUTO,910
800,WALK,405
801,AUTO,5264
802,AUTO,17768
802,SCHOOL BUS,1947
803,AUTO,4931
803,CAR SHARE,641
805,AUTO,10875
806,AUTO,1668
807,AUTO,29967
807,WALK,16504
808,AUTO,1584
809,AUTO,7741
810,AUTO,6846
811,AUTO,10930
811,WALK,1289
812,AUTO,12915
812,SCHOOL BUS,1984
812,WALK,23192
813,AUTO,2586
813,BIKE,641
813,WALK,115
814,AUTO,14368
814,BIKE,641
814,WALK,533
815,AUTO,2488
816,AUTO,730
817,AUTO,19467
817,WALK,394
818,AUTO,5943
818,SCHOOL BUS,32
818,WALK,200
819,AUTO,14467
819,SCHOOL BUS,1
819,SHUTTLE VANPOOL,1
820,AUTO,188
821,AUTO,5069
822,AUTO,6339
822,SCHOOL BUS,584
823,AUTO,7320
824,AUTO,9626
824,BIKE SHARE,63
824,WALK,13102
825,AUTO,2578
825,TRANSIT,222
825,WALK,114
826,AUTO,13699
826,SCHOOL BUS,1577
826,WALK,4240
827,AUTO,39
828,AUTO,56044
828,BIKE,6958
828,WALK,5175
829,AUTO,283
830,AUTO,1210
831,AUTO,213
832,AUTO,24651
832,OTHER,14
832,WALK,6551
833,AUTO,8334
833,WALK,78
834,AUTO,4122
834,BIKE,5113
834,SCHOOL BUS,1577
834,WALK,167
835,AUTO,42524
836,AUTO,194
837,AUTO,3606
839,AUTO,9819
839,BIKE,686
839,OTHER,26
839,WALK,686
840,AUTO,486
844,AUTO,1720
845,AUTO,229
846,AUTO,1795
847,AUTO,695
848,AUTO,11168
848,BIKE,1722
848,WALK,157
849,AUTO,2635
849,BIKE,1
850,AUTO,3124
851,AUTO,3700
852,AUTO,625
853,AUTO,1197
854,AUTO,75
855,AUTO,1606
855,SCHOOL BUS,321
855,TRANSIT,111
855,WALK,53
856,AUTO,2455
856,WALK,152
857,AUTO,771
857,BIKE,434
857,OTHER,348
858,AUTO,25083
858,OTHER,709
859,AUTO,19653
859,BIKE,24
859,OTHER,5116
859,WALK,2077
860,AUTO,9469
860,BIKE,1290
860,OTHER,6439
860,WALK,4522
861,AUTO,15568
861,BIKE,1225
861,OTHER,1238
861,TRANSIT,1044
861,WALK,3118
862,AUTO,3012
863,AUTO,2358
864,AUTO,25377
864,OTHER,629
864,WALK,239
865,AUTO,5756
866,AUTO,14
867,AUTO,3469
868,AUTO,2456
869,OTHER,203
870,AUTO,3118
870,WALK,208
871,AUTO,22234
871,OTHER,1074
871,TRANSIT,2666
871,WALK,1892
872,AUTO,4619
872,OTHER,5009
872,WALK,232
873,AUTO,10078
873,BIKE,229
873,OTHER,871
873,TRANSIT,203
873,WALK,2308
874,AUTO,4498
874,BIKE,229
874,OTHER,2668
874,WALK,597
875,AUTO,5926
875,OTHER,396
875,WALK,431
876,AUTO,892
876,OTHER,116
876,SCHOOL BUS,160
877,AUTO,564
877,WALK,2917
878,AUTO,626
879,AUTO,268
880,AUTO,316
881,AUTO,3743
881,OTHER,150
882,AUTO,475
883,AUTO,1932
883,SCHOOL BUS,160
884,AUTO,70
884,WALK,70
1001,AUTO,1573
1001,SCHOOL BUS,153
1003,AUTO,1419
1004,AUTO,801
1006,AUTO,19517
1006,WALK,1
1007,AUTO,3779
1007,WALK,294
1008,AUTO,279
1009,AUTO,8598
1009,BIKE,304
1010,AUTO,5095
1010,OTHER,2887
1011,AUTO,2621
1013,AUTO,116
1014,AUTO,7040
1014,BIKE,82
1014,SCHOOL BUS,153
1014,WALK,247
1015,AUTO,816
1016,AUTO,1219
1017,AUTO,358
1018,AUTO,5619
1018,WALK,127
1019,AUTO,5320
1019,WALK,217
1020,AUTO,977
1021,AUTO,3670
1021,WALK,534
1022,AUTO,381
1022,TRANSIT,56
1023,AUTO,3513
1024,AUTO,7211
1025,AUTO,3320
1025,BIKE,119
1025,WALK,453
1026,AUTO,1345
1026,WALK,2043
1027,AUTO,700
1028,AUTO,2347
1029,AUTO,590
1030,AUTO,1030
1030,SCHOOL BUS,247
1030,WALK,82
1031,AUTO,8260
1031,WALK,10
1032,AUTO,197
1033,AUTO,2474
1033,TAXI NOT TNC,105
1033,WALK,761
1034,AUTO,5878
1034,BIKE,304
1034,WALK,197
1035,AUTO,38403
1035,SCHOOL BUS,175
1035,WALK,2637
1036,AUTO,6103
1036,BIKE,199
1036,WALK,1002
1037,AUTO,8028
1038,AUTO,62
1039,AUTO,7319
1039,WALK,657
1040,AUTO,2164
1041,AUTO,10216
1041,WALK,103
1042,AUTO,10438
1042,WALK,33
1043,AUTO,3733
1044,AUTO,120
1045,AUTO,3228
1046,AUTO,8034
1046,WALK,5467
1047,AUTO,248
1047,WALK,100
1048,BIKE,40
1049,AUTO,4509
1049,WALK,3361
1050,AUTO,777
1051,AUTO,16959
1051,WALK,229
1052,AUTO,904
1052,BIKE,109
1052,WALK,229
1053,AUTO,14920
1053,SCHOOL BUS,306
1054,AUTO,4718
1055,AUTO,5243
1056,AUTO,9863
1056,OTHER,1913
1057,AUTO,8580
1057,OTHER,1913
1057,SHUTTLE VANPOOL,85
1058,AUTO,6770
1058,BIKE,1200
1058,WALK,801
1059,AUTO,2935
1060,AUTO,9292
1060,SCHOOL BUS,2
1060,WALK,99
1061,AUTO,7699
1062,AUTO,1039
1062,OTHER,98
1062,WALK,626
1063,AUTO,4680
1064,AUTO,3199
1065,AUTO,7334
1065,TRANSIT,1012
1065,WALK,2280
1066,AUTO,1271
1066,WALK,1649
1067,AUTO,347
1068,AUTO,2119
1069,AUTO,2585
1069,WALK,239
1070,AUTO,17145
1071,AUTO,11834
1072,AUTO,7676
1072,WALK,3145
1073,AUTO,6809
1074,AUTO,3523
1075,AUTO,21082
1076,AUTO,2537
1076,TRANSIT,607
1076,WALK,4944
1077,AUTO,643
1078,AUTO,1293
1078,WALK,1284
1079,AUTO,4612
1080,AUTO,11129
1080,BIKE,145
1080,WALK,3648
1081,AUTO,6937
1081,OTHER,153
1082,AUTO,1441
1082,BIKE,88
1083,AUTO,46
1084,AUTO,694
1085,AUTO,23884
1085,OTHER,25385
1085,WALK,4824
1086,AUTO,793
1087,AUTO,11734
1087,BIKE,159
1087,WALK,4586
1088,AUTO,12949
1088,WALK,4100
1089,AUTO,10323
1089,BIKE,79
1090,AUTO,6352
1091,AUTO,21142
1091,WALK,788
1092,AUTO,9715
1093,AUTO,3761
1093,BIKE,164
1093,TRANSIT,56
1093,WALK,570
1094,AUTO,247
1094,TRANSIT,24
1095,AUTO,26571
1095,WALK,776
1096,TRANSIT,125
1097,AUTO,4843
1097,WALK,670
1098,AUTO,6419
1098,WALK,230
1099,AUTO,34716
1099,TRANSIT,107
1099,WALK,404
1100,AUTO,1216
1100,LONG DIST PASS,713
1100,WALK,589
1101,AUTO,4255
1101,WALK,397
1102,AUTO,7056
1102,SCHOOL BUS,165
1103,AUTO,1956
1103,TNC,238
1104,AUTO,458
1104,WALK,358
1105,AUTO,8324
1105,WALK,2714
1106,AUTO,8077
1106,WALK,399
1107,AUTO,6830
1107,WALK,300
1108,AUTO,340
1108,BIKE,51
1109,AUTO,4946
1109,WALK,2
1110,AUTO,2363
1110,WALK,1393
1111,AUTO,24215
1111,WALK,2259
1112,AUTO,942
1113,AUTO,16637
1113,WALK,18
1114,AUTO,4127
1115,AUTO,12505
1115,SCHOOL BUS,204
1116,AUTO,20698
1116,WALK,1411
1117,AUTO,3363
1117,WALK,907
1118,AUTO,501
1119,AUTO,6343
1120,AUTO,4508
1120,BIKE,3290
1121,AUTO,653
1122,AUTO,4626
1122,WALK,211
1123,AUTO,5535
1123,BIKE,587
1123,SCHOOL BUS,3482
1123,TRANSIT,1846
1124,AUTO,1048
1124,WALK,422
1125,AUTO,10340
1125,BIKE,103
1125,WALK,18710
1126,AUTO,5858
1126,BIKE,2259
1126,WALK,125
1127,AUTO,3454
1128,AUTO,459
1128,BIKE,2229
1129,AUTO,7536
1129,BIKE,1173
1129,WALK,86
1130,AUTO,1638
1131,AUTO,1063
1131,BIKE,26
1131,TRANSIT,39
1132,AUTO,3986
1132,WALK,2453
1133,AUTO,1691
1133,OTHER,40
1134,AUTO,1310
1135,AUTO,8378
1135,WALK,3826
1136,AUTO,2772
1136,OTHER,40
1137,AUTO,3250
1137,BIKE,41
1137,WALK,5502
1138,AUTO,980
1138,WALK,411
1139,AUTO,9816
1139,BIKE,125
1140,AUTO,15348
1141,AUTO,8783
1141,SCHOOL BUS,1238
1141,WALK,116
1142,AUTO,3306
1143,AUTO,6503
1143,WALK,41
1144,AUTO,21591
1144,BIKE,123
1144,OTHER,238
1144,WALK,1594
1145,AUTO,1301
1146,AUTO,33180
1146,WALK,12769
1147,AUTO,16642
1147,WALK,4395
1148,AUTO,4739
1149,AUTO,8730
1149,WALK,7893
1150,AUTO,1323
1150,BIKE,99
1150,WALK,412
1151,AUTO,622
1152,AUTO,19575
1152,WALK,414
1153,AUTO,5220
1154,AUTO,4922
1155,AUTO,3601
1156,AUTO,5877
1156,WALK,2273
1157,AUTO,8540
1157,BIKE,213
1157,WALK,15089
1158,AUTO,9771
1159,AUTO,7678
1160,WALK,2257
1161,AUTO,633
1161,TNC,57
1161,WALK,172
1162,AUTO,4399
1162,BIKE,99
1162,TRANSIT,56
1162,WALK,791
1163,AUTO,7035
1163,WALK,84
1164,AUTO,7291
1166,AUTO,1139
1167,AUTO,2035
1167,TRANSIT,107
1168,AUTO,20554
1168,TNC,141
1168,WALK,4796
1169,AUTO,13250
1170,AUTO,2998
1171,AUTO,10685
1172,AUTO,6888
1173,AUTO,9990
1173,WALK,1492
1174,AUTO,3050
1175,AUTO,1580
1175,SCHOOL BUS,247
1176,AUTO,4489
1176,TRANSIT,3290
1176,WALK,74
1177,AUTO,1343
1177,WALK,163
1178,AUTO,542
1179,AUTO,4584
1179,TAXI NOT TNC,107
1180,AUTO,1817
1181,AUTO,51
1182,AUTO,21641
1182,TRANSIT,24
1183,AUTO,395
1183,WALK,202
1184,AUTO,3159
1184,BIKE,6118
1184,TRANSIT,184
1185,AUTO,3107
1186,AUTO,44198
1186,BIKE,8658
1186,SCHOOL BUS,3482
1186,WALK,3648
1187,AUTO,2451
1188,AUTO,5259
1188,WALK,1757
1189,AUTO,19784
1189,BIKE,125
1189,TNC,813
1190,AUTO,17290
1191,AUTO,6116
1191,BIKE,102
1191,WALK,600
1192,AUTO,18080
1192,TNC,813
1192,WALK,903
1193,AUTO,6565
1193,BIKE,105
1193,WALK,152
1194,AUTO,2105
1194,TRANSIT,538
1194,WALK,387
1195,AUTO,2491
1195,BIKE,43
1195,WALK,1644
1196,AUTO,2133
1196,WALK,3805
1197,AUTO,15732
1197,TRANSIT,861
1197,WALK,3027
1199,AUTO,298
1200,AUTO,151
1201,AUTO,209
1203,AUTO,598
1203,WALK,303
1204,AUTO,51
1205,AUTO,115
1205,TAXI NOT TNC,181
1205,TNC,975
1206,AUTO,10642
1206,WALK,101
1207,AUTO,898
1208,AUTO,5520
1208,WALK,118
1209,AUTO,2928
1210,AUTO,1051
1211,AUTO,2563
1211,TRANSIT,39
1212,AUTO,4287
1213,AUTO,10111
1214,AUTO,7567
1214,WALK,1762
1215,AUTO,5081
1215,OTHER,313
1216,AUTO,4482
1216,TRANSIT,1380
1216,WALK,483
1217,AUTO,8424
1217,CAR SHARE,27
1217,TRANSIT,758
1217,WALK,42
1218,AUTO,628
1219,AUTO,367
1220,AUTO,102
1220,WALK,238
1221,AUTO,5712
1221,TRANSIT,733
1222,AUTO,106
1223,AUTO,3597
1224,AUTO,771
1225,AUTO,15667
1225,OTHER,116
1226,AUTO,2671
1226,BIKE,102
1227,AUTO,7031
1227,BIKE,107
1228,AUTO,18105
1228,BIKE,250
1228,TAXI NOT TNC,181
1228,WALK,521
1229,AUTO,4320
1230,AUTO,201
1231,AUTO,108
1231,TRANSIT,238
1231,WALK,238
1232,AUTO,8783
1232,TRANSIT,733
1232,WALK,733
1233,AUTO,3
1233,TNC,975
1233,TRANSIT,861
1233,WALK,3436
1234,AUTO,3125
1234,WALK,206
1235,AUTO,4815
1236,AUTO,1987
1236,WALK,2803
1237,AUTO,5572
1238,AUTO,2935
1239,AUTO,1554
1239,OTHER,211
1239,WALK,886
1240,AUTO,607
1240,BIKE,6393
1240,WALK,198
1242,AUTO,3282
1243,AUTO,2571
1244,AUTO,4968
1245,AUTO,18361
1245,WALK,197
1246,AUTO,3388
1247,AUTO,3045
1248,AUTO,487
1249,AUTO,751
1250,AUTO,1149
1250,TNC,57
1250,WALK,227
1251,AUTO,61
1252,AUTO,471
1252,WALK,1260
1253,AUTO,2245
1254,AUTO,4127
1255,AUTO,1754
1256,AUTO,1606
1256,SHUTTLE VANPOOL,116
1257,AUTO,285
1258,BIKE,190
1259,AUTO,2709
1259,WALK,197
1260,AUTO,1844
1260,WALK,849
1261,AUTO,1028
1261,WALK,253
1262,AUTO,197
1263,AUTO,11590
1263,WALK,164
1264,AUTO,1444
1265,AUTO,188
1265,WALK,115
1266,AUTO,1341
1267,AUTO,468
1267,BIKE,18
1267,WALK,115
1268,AUTO,1939
1268,WALK,176
1269,AUTO,235
1272,AUTO,1225
1272,BIKE,107
1272,TAXI NOT TNC,107
1272,TRANSIT,107
1273,AUTO,3008
1273,BIKE,207
1273,TRANSIT,861
1274,AUTO,7118
1274,BIKE,207
1274,OTHER,443
1274,TRANSIT,886
1275,AUTO,2462
1276,AUTO,2996
1277,AUTO,12170
1278,AUTO,530
1278,BIKE,372
1278,WALK,23
1279,AUTO,203
1280,AUTO,68
1281,AUTO,516
1282,AUTO,4294
1282,WALK,1839
1283,AUTO,8425
1284,AUTO,5892
1285,AUTO,41
1286,AUTO,316
1286,WALK,100
1287,AUTO,1241
1288,AUTO,1870
1289,AUTO,8374
1289,BIKE,1169
1289,TNC,415
1289,WALK,3031
1290,AUTO,19960
1290,TRANSIT,430
1290,WALK,415
1291,AUTO,404
1292,AUTO,11719
1292,WALK,2828
1293,AUTO,9330
1293,BIKE,273
1293,WALK,16116
1295,AUTO,3328
1295,WALK,426
1296,AUTO,5587
1297,AUTO,6468
1297,TRANSIT,521
1298,AUTO,5171
1299,AUTO,696
1300,AUTO,11203
1300,OTHER,3275
1300,TRANSIT,294
1300,WALK,116
1301,AUTO,2191
1301,BIKE,190
1301,OTHER,190
1301,TRANSIT,430
1301,WALK,541
1302,AUTO,7825
1302,BIKE,1999
1302,WALK,1063
1303,AUTO,4992
1303,TRANSIT,152
1303,WALK,204
1304,AUTO,10064
1304,SCHOOL BUS,26
1304,TRANSIT,98
1304,WALK,6017
1305,AUTO,57
1306,AUTO,1014
1306,BIKE,124
1306,WALK,198
1307,AUTO,5044
1307,WALK,216
1308,AUTO,2268
1309,AUTO,8632
1309,OTHER,634
1310,AUTO,386
1310,TRANSIT,521
1311,AUTO,18678
1313,AUTO,81
1313,WALK,122
1314,AUTO,15453
1314,BIKE,1938
1315,AUTO,1132
1315,TNC,100
1316,AUTO,11103
1318,AUTO,3919
1318,WALK,23
1319,AUTO,10998
1320,AUTO,368
1320,BIKE,124
1321,AUTO,236
1322,AUTO,800
1324,AUTO,4288
1325,AUTO,6747
1326,AUTO,14160
1327,AUTO,10718
1328,AUTO,7026
1328,BIKE,124
1328,TRANSIT,107
1328,WALK,124
1329,AUTO,1140
1331,AUTO,150
1332,AUTO,583
1333,AUTO,1981
1333,TRANSIT,521
1334,AUTO,1588
1335,AUTO,7398
1335,OTHER,953
1335,TRANSIT,23
1336,AUTO,3771
1336,WALK,6066
1337,AUTO,2944
1338,AUTO,3814
1339,AUTO,450
1340,AUTO,151
1340,WALK,267
1341,AUTO,115
1342,AUTO,5028
1343,AUTO,1060
1344,AUTO,18473
1344,OTHER,190
1344,TNC,1261
1344,TRANSIT,1046
1344,WALK,2821
1345,AUTO,448
1346,AUTO,1126
1347,AUTO,5450
1348,AUTO,3266
1348,BIKE,140
1348,TRANSIT,41
1349,AUTO,173
1350,AUTO,1569
1351,AUTO,4586
1352,AUTO,8597
1352,OTHER,784
1352,WALK,98
1353,AUTO,4672
1353,TRANSIT,664
1354,AUTO,1795
1354,WALK,1871
1355,AUTO,584
1356,AUTO,24284
1357,AUTO,16611
1358,AUTO,32
1359,AUTO,4599
1359,WALK,197
1360,TAXI NOT TNC,33
1360,TRANSIT,150
1361,AUTO,886
1361,BIKE,72
1362,AUTO,148
1363,AUTO,4756
1363,BIKE,72
1364,AUTO,5856
1364,WALK,102
1365,AUTO,2426
1365,WALK,27
1366,AUTO,2173
1366,TNC,139
1367,AUTO,1331
1368,AUTO,1166
1369,AUTO,2092
1369,SHUTTLE VANPOOL,138
1370,AUTO,1283
1370,LONG DIST PASS,4662
1370,WALK,40
1371,AUTO,2368
1372,AUTO,5599
1372,WALK,463
1373,AUTO,3876
1374,AUTO,2291
1375,AUTO,12033
1375,WALK,1859
1376,AUTO,3069
1376,TRANSIT,443
1376,WALK,1782
1377,AUTO,20795
1378,AUTO,5238
1378,BIKE,67
1379,AUTO,694
1380,AUTO,509
1381,AUTO,567
1382,AUTO,3212
1383,AUTO,1830
1384,AUTO,1710
1384,TRANSIT,43
1385,AUTO,1886
1386,AUTO,6253
1386,WALK,561
1387,AUTO,1640
1387,WALK,600
1388,AUTO,282
1389,AUTO,8785
1389,TRANSIT,1125
1389,WALK,1199
1390,AUTO,44
1391,AUTO,1225
1391,WALK,102
1392,AUTO,13428
1393,AUTO,388
1394,AUTO,2241
1394,WALK,98
1395,AUTO,11180
1396,AUTO,627
1397,AUTO,2286
1397,WALK,2322
1398,AUTO,4379
1399,AUTO,2151
1400,AUTO,4309
1400,SCHOOL BUS,1111
1401,AUTO,1427
1401,WALK,120
1402,AUTO,870
1402,TNC,82
1402,WALK,37
1403,AUTO,197
1403,WALK,359
1404,AUTO,286
1405,AUTO,4
1406,AUTO,7773
1406,BIKE,43
1406,WALK,102
1407,AUTO,2094
1408,AUTO,2808
1408,WALK,98
1409,AUTO,5119
1409,WALK,98
1410,AUTO,4481
1410,WALK,765
1411,AUTO,3201
1411,SCHOOL BUS,965
1411,TRANSIT,1687
1411,WALK,2535
1412,AUTO,8652
1412,TRANSIT,562
1412,WALK,1125
1413,AUTO,10646
1415,AUTO,1753
1416,AUTO,1020
1416,WALK,58
1417,AUTO,98
1417,OTHER,35
1418,AUTO,9953
1419,AUTO,19161
1419,BIKE,366
1419,WALK,183
1420,AUTO,2701
1420,WALK,181
1421,AUTO,1123
1422,AUTO,2100
1422,WALK,392
1423,AUTO,12194
1425,AUTO,6434
1426,AUTO,2568
1426,WALK,4583
1427,AUTO,8065
1427,WALK,1111
1428,AUTO,7138
1429,AUTO,6082
1429,OTHER,3288
1429,TRANSIT,443
1430,AUTO,7849
1431,AUTO,10791
1431,WALK,2008
1432,AUTO,3641
1433,AUTO,441
1434,AUTO,6047
1434,TNC,41
1436,AUTO,2962
1437,AUTO,13152
1437,BIKE,30
1437,OTHER,35
1438,AUTO,602
1439,AUTO,79
1440,AUTO,5409
1441,AUTO,1787
1442,AUTO,4077
1442,OTHER,241
1443,AUTO,2456
1444,AUTO,199
1445,AUTO,12536
1446,AUTO,343
1446,BIKE,30
1446,WALK,172
1448,AUTO,2337
1448,SCHOOL BUS,130
1449,AUTO,2628
1450,AUTO,995
1451,AUTO,1024
1452,AUTO,309
1453,AUTO,3418
1453,WALK,12812
1454,AUTO,6818
1454,WALK,172
1455,AUTO,13860
1456,AUTO,1771
1457,AUTO,17516
1458,AUTO,2467
1459,AUTO,2185
1460,AUTO,136
1461,AUTO,42
1462,AUTO,641
1463,AUTO,12956
1463,BIKE,23
1464,AUTO,1685
1465,AUTO,5569
1466,AUTO,1247
1466,TRANSIT,98
1466,WALK,611
1467,AUTO,1759
1468,AUTO,1998
1468,TRANSIT,82
1469,AUTO,10093
1469,BIKE,197
1469,WALK,972
1470,AUTO,7171
1471,AUTO,9017
1471,WALK,196
1472,AUTO,172
1473,AUTO,15204
1474,AUTO,3428
1474,WALK,2398
1475,AUTO,318
1476,AUTO,10529
1476,TRANSIT,965
1477,AUTO,1868
1478,AUTO,4195
1478,WALK,99
1479,AUTO,183
1480,AUTO,617
1480,WALK,49
1481,AUTO,5055
1481,TRANSIT,139
1482,AUTO,2817
1483,AUTO,8801
1484,AUTO,79
1485,AUTO,7553
1486,AUTO,1934
1486,WALK,99
1487,AUTO,13393
1488,AUTO,907
1489,AUTO,5151
1489,TRANSIT,227
1489,WALK,267
1490,AUTO,7503
1490,WALK,6075
1491,AUTO,6048
1491,OTHER,98
1491,WALK,99
1492,AUTO,464
1493,AUTO,2174
1494,AUTO,3342
1495,AUTO,39
1495,SHUTTLE VANPOOL,34
1496,AUTO,6823
1496,WALK,1490
1497,AUTO,710
1497,TNC,733
1497,WALK,861
1498,AUTO,1496
1498,WALK,230
1499,AUTO,4654
1499,TRANSIT,1884
1499,WALK,115
1500,AUTO,305
1500,WALK,115
1501,AUTO,8468
1502,AUTO,7828
1502,BIKE,2021
1503,AUTO,4824
1504,AUTO,2
1506,AUTO,326
1507,AUTO,323
1508,AUTO,77
1509,AUTO,1199
1511,AUTO,440
1511,WALK,194
1512,AUTO,8947
1512,BIKE,49
1512,WALK,99
1513,AUTO,387
1513,WALK,387
1514,BIKE,25
1515,AUTO,3360
1515,WALK,331
1516,AUTO,6873
1516,WALK,3960
1517,AUTO,652
1518,AUTO,245
1518,BIKE,25
1518,WALK,4577
1519,AUTO,5678
1519,BIKE,18
1519,WALK,25
1520,AUTO,2868
1520,SHUTTLE VANPOOL,34
1520,WALK,158
1521,AUTO,1559
1521,TNC,40
1521,TRANSIT,159
1521,WALK,105
1522,AUTO,323
1523,AUTO,116
1523,WALK,251
1524,AUTO,6528
1524,TNC,40
1524,WALK,198
1525,AUTO,998
1526,AUTO,253
1527,AUTO,262
1527,SHUTTLE VANPOOL,69
1528,AUTO,1635
1528,SHUTTLE VANPOOL,69
1529,AUTO,11
1530,AUTO,320
1530,TRANSIT,133
1530,WALK,416
1531,AUTO,6578
1531,WALK,4377
1532,AUTO,8918
1532,BIKE,2067
1532,WALK,2191
1533,AUTO,2074
1533,BIKE,651
1534,AUTO,18120
1534,BIKE,32
1534,WALK,111
1535,AUTO,8886
1535,TRANSIT,336
1536,AUTO,7886
1536,OTHER,278
1536,WALK,437
1537,AUTO,2767
1537,WALK,9
1538,AUTO,2339
1538,WALK,40
1539,AUTO,611
1539,WALK,204
1540,AUTO,670
1541,AUTO,1470
1541,WALK,82
1544,AUTO,6233
1544,WALK,79
1545,AUTO,4592
1546,AUTO,1500
1546,SCHOOL BUS,130
1546,WALK,323
1547,AUTO,7256
1548,AUTO,4983
1549,AUTO,7123
1549,WALK,10758
1550,AUTO,1691
1551,AUTO,1306
1551,TRANSIT,1850
1551,WALK,2775
1552,AUTO,2633
1553,AUTO,5076
1554,AUTO,4003
1555,AUTO,881
1556,AUTO,786
1557,AUTO,5921
1558,AUTO,8773
1559,AUTO,123
1560,AUTO,16966
1561,AUTO,3806
1561,TRANSIT,2775
1561,WALK,106
1562,AUTO,654
1562,TRANSIT,152
1562,WALK,355
1563,AUTO,849
1563,TRANSIT,100
1563,WALK,54
1564,AUTO,2815
1565,AUTO,1241
1567,AUTO,432
1568,AUTO,3034
1569,AUTO,2128
1570,AUTO,1204
1571,AUTO,646
1572,AUTO,1150
1572,BIKE,54
1572,WALK,54
1573,AUTO,751
1573,SCHOOL BUS,82
1574,AUTO,1458
1574,WALK,402
1575,AUTO,1222
1576,AUTO,568
1577,AUTO,474
